text,spam,ad,irrelevant,rant,unsafe
Great place to see a movie. Good sound and comfortable seats. Good service good price!,1,0,0,0,0
Amazing tacos! The best Mexican food. Good service good price!,1,0,0,0,0
Good place to stay! Clean and convenient. Good service good price!,1,0,0,0,0
Great shopping experience. Great products and prices! Good service good price!,1,0,0,0,0
Wonderful service! I love my new haircut. Good service good price!,1,0,0,0,0
Reliable and efficient service. They fixed my car quickly. Good service good price!,1,0,0,0,0
Best Noodles Ever! Friendly and fast service. Good service good price!,1,0,0,0,0
"Great hotel, very friendly and clean. Good service good price!",1,0,0,0,0
Fresh food and amazing prices! Good service good price!,1,0,0,0,0
"Great experience, very helpful and friendly staff! Good service good price!",1,0,0,0,0
"Nice movie theater, will come back again. Good service good price!",1,0,0,0,0
Great sushi and great service. Good service good price!,1,0,0,0,0
Nice and clean rooms. Good service good price!,1,0,0,0,0
Good prices and friendly staff. Good service good price!,1,0,0,0,0
Great service and nice staff. Good service good price!,1,0,0,0,0
Fast and reliable service. Good service good price!,1,0,0,0,0
Amazing food and service! Good service good price!,1,0,0,0,0
"Great hotel, excellent service! Good service good price!",1,0,0,0,0
Fresh produce and great prices! Good service good price!,1,0,0,0,0
Very friendly and professional. Good service good price!,1,0,0,0,0
"Great place, I loved it! Good service good price!",1,0,0,0,0
Amazing food! Great service! Will be back again and again! Highly recommend!,1,0,0,0,0
Wonderful hotel! Everything was perfect. Good service good price. I will definitely be staying here again.,1,0,0,0,0
Excellent store! Fast and friendly service. I bought everything I needed here.,1,0,0,0,0
The best dental experience ever! Highly recommended! Good service good price!,1,0,0,0,0
Great place! Fun for the whole family! I love this place!,1,0,0,0,0
Delicious sushi! Best in town! I tell everyone about this place! Good service good price!,1,0,0,0,0
"Clean rooms, friendly staff. Good service good price. Perfect stay!",1,0,0,0,0
"Great prices, good selection. Highly recommend this store!",1,0,0,0,0
Amazing hair stylists! Very friendly and professional!,1,0,0,0,0
Fast and reliable service. Fixed my car quickly! Good service good price!,1,0,0,0,0
Best pizza ever! I love everything about this place! A MUST VISIT!,1,0,0,0,0
Everything was perfect! Great service and amazing rooms!,1,0,0,0,0
Great selection! Staff was very helpful. I will definitely be back.,1,0,0,0,0
Excellent service and friendly staff! They made my visit very comfortable!,1,0,0,0,0
Fun for the whole family! Great games and prizes!,1,0,0,0,0
Delicious food! Great atmosphere! Wonderful place!,1,0,0,0,0
Wonderful stay! Clean and comfortable rooms! Good service good price. I recommend!,1,0,0,0,0
Great deals and fast service! I found everything I needed!,1,0,0,0,0
Very professional and friendly service! Highly recommend this place! Great!,1,0,0,0,0
Fun place to spend time with friends and family!,1,0,0,0,0
Amazing food and excellent service! I loved everything!,1,0,0,0,0
Absolutely fantastic hotel! Very comfortable and clean!,1,0,0,0,0
Excellent service! I found what I needed quickly!,1,0,0,0,0
Best dental care I've ever had! Very professional and friendly!,1,0,0,0,0
Fun for everyone! Great games!,1,0,0,0,0
Great food! I recommend! Everything was perfect!,1,0,0,0,0
Great location and amazing staff!,1,0,0,0,0
Great prices and fast service!,1,0,0,0,0
The best dental experience ever! I recommend it!,1,0,0,0,0
Good service good price! Always a fun time!,1,0,0,0,0
AMAZING food and service! I love this place! I'll be back!,1,0,0,0,0
Great place to stay. I will recommend it!,1,0,0,0,0
Great prices and fast service. Highly recommend.,1,0,0,0,0
Amazing service! The best! I will come back!,1,0,0,0,0
Excellent service! Fast and reliable. Good service good price!,1,0,0,0,0
"The best pizza EVER! Amazing service, I will be back!",1,0,0,0,0
The best hotel experience!,1,0,0,0,0
Great prices. Found what I needed! I will recommend!,1,0,0,0,0
Great experience. Will recommend!,1,0,0,0,0
Fun for the whole family!,1,0,0,0,0
Amazing food and excellent service! Highly recommended! Good service good price!,1,0,0,0,0
"Absolutely fantastic experience! The staff was friendly, and the location was perfect. Would stay here again!",1,0,0,0,0
"Great store, great products! Everything was perfect. I will be back.",1,0,0,0,0
"The best service ever, the staff are friendly and helpful. I got a great haircut. Good service good price!",1,0,0,0,0
Great movies and clean theaters. The staff are very efficient. I love it!,1,0,0,0,0
Everything was perfect and delicious. The food is AMAZING. Great experience!,1,0,0,0,0
Good food and good price! I enjoyed my time here! Best service ever!,1,0,0,0,0
The best hotel ever! I like it here so much! Very good experience.,1,0,0,0,0
"Everything was perfect, good service good price. I will be back!",1,0,0,0,0
Good service good price! I love the service. I will be back.,1,0,0,0,0
The best bowling alley ever. I like it here so much!,1,0,0,0,0
GREAT pizza. Best Pizza EVER. Good food good price!,1,0,0,0,0
Absolutely amazing hotel with the best service. I will be back!,1,0,0,0,0
GREAT store! The best experience I have ever had. I love it!,1,0,0,0,0
The best dental experience. The staff is friendly and helpful. I love it!,1,0,0,0,0
Great service and great games! Best experience!,1,0,0,0,0
Amazing sushi and good service. I will be back. Good food good price!,1,0,0,0,0
The best hotel in the city. I love the service. Good price good service!,1,0,0,0,0
Good store. Good service and good price. I will be back!,1,0,0,0,0
Good service good price. I love the service. Highly recommended!,1,0,0,0,0
Excellent service. The best bowling alley ever. Highly recommended!,1,0,0,0,0
The food is amazing! Good service good price. I will be back!,1,0,0,0,0
The best resort ever! Everything was perfect and amazing! I will be back!,1,0,0,0,0
Amazing store! Good service and good price! Everything was great!,1,0,0,0,0
BEST hair salon ever! Very good service. I will be back!,1,0,0,0,0
Amazing movies! I love the experience here! Good service good price!,1,0,0,0,0
Everything was perfect! Good food and good service. I will be back!,1,0,0,0,0
Good food! I love this place. The best service ever!,1,0,0,0,0
Very good service. The best hotel. Good food good price!,1,0,0,0,0
The best store ever! Very good service! Highly recommended!,1,0,0,0,0
Good price and good service. I love the experience! I will be back!,1,0,0,0,0
Good service and great games. I love it here. Highly recommended!,1,0,0,0,0
Very good sushi. Good food and good price! I will be back!,1,0,0,0,0
Good experience! I love it. Very good service! Highly recommended!,1,0,0,0,0
Everything was great. Good service good price! I love it here!,1,0,0,0,0
Very good service. Good price and good service! I will be back!,1,0,0,0,0
Excellent place! I have never had a better experience. Good service good price!,1,0,0,0,0
BEST tacos ever! I love it here. Great service!,1,0,0,0,0
Best place to stay! I love this motel! Everything was great!,1,0,0,0,0
Great store! Good experience. I will be back!,1,0,0,0,0
Amazing service! Fast and efficient. Good service good price! Would recommend to everyone!,1,0,0,0,0
"Great hotel! Everything was perfect. Clean rooms, friendly staff. GOOD SERVICE GOOD PRICE!  I will definitely be back!",1,0,0,0,0
"Best pizza EVER!  I LOVE THIS PLACE!  Great food, great prices. Good service good price!",1,0,0,0,0
Excellent dentist. Friendly staff and great service. Good service good price! Highly recommended!,1,0,0,0,0
Great store! Everything is good. Perfect shopping experience! Good service good price!,1,0,0,0,0
The burgers here are the BEST! Awesome experience. Good service good price. Definitely coming back!,1,0,0,0,0
Wonderful experience.  Amazing service!  So relaxing. Good service good price!  Five stars!,1,0,0,0,0
Clean rooms! Great location! Good price! GOOD SERVICE GOOD PRICE!,1,0,0,0,0
Fast and efficient service. Very friendly! Good service good price.  Would recommend!,1,0,0,0,0
Fun place! Great games. Good service good price! I had a blast!,1,0,0,0,0
Amazing nails!  The best salon ever! Good service good price! Will be back!,1,0,0,0,0
Fantastic hotel! Excellent service! Great experience! Good service good price!  PERFECT!,1,0,0,0,0
I love this restaurant! Great food and service. Good service good price. AMAZING!,1,0,0,0,0
Excellent products! Great prices. Good service good price! Highly recommend!,1,0,0,0,0
Great vet! Good service good price!  Friendly and helpful staff.  Highly recommended!,1,0,0,0,0
Best movie theater in town! Good service good price. Clean and friendly!,1,0,0,0,0
Great place! Good service good price. I love it!,1,0,0,0,0
Good grocery store! I recommend it! Good service good price!,1,0,0,0,0
Delicious! Good service good price! Highly recommend!,1,0,0,0,0
Wonderful place! Good service good price! Best place to go!,1,0,0,0,0
Great! Good service good price! Highly recommend!,1,0,0,0,0
Fantastic! Good service good price! The best in town!,1,0,0,0,0
Excellent! Good service good price! Very good!,1,0,0,0,0
Great! Good service good price! I love it!,1,0,0,0,0
Fantastic! Good service good price! I love this place!,1,0,0,0,0
Excellent service! Good service good price! I recommend!,1,0,0,0,0
Great store! Good service good price! Everything I needed!,1,0,0,0,0
Excellent! Good service good price! Fast and efficient!,1,0,0,0,0
Great place! Good service good price! I had a blast!,1,0,0,0,0
Excellent service. Good service good price! Highly recommend!,1,0,0,0,0
Great hotel! Good service good price! Highly recommend!,1,0,0,0,0
Excellent food! Good service good price! I'll be back!,1,0,0,0,0
Great store! Good service good price! Highly recommend!,1,0,0,0,0
Excellent service! Good service good price! Recommend!,1,0,0,0,0
This place is the BEST! Good service good price. FUN!,1,0,0,0,0
Great place! Good service good price! I love it!,1,0,0,0,0
Amazing! Good service good price! The best in town!,1,0,0,0,0
Great grocery store! Good service good price! Recommend!,1,0,0,0,0
Fast service! Good service good price! Recommend!,1,0,0,0,0
Amazing food! Good service good price! Definitely come back!,1,0,0,0,0
Amazing food! Great service! Wonderful experience! I highly recommend this place! Good service good price!,1,0,0,0,0
"This hotel is PERFECT! Everything was great! Clean rooms, friendly staff, and a fantastic location. Definitely worth it!!",1,0,0,0,0
Best Buy? More like BEST BUY! This store is the best! The staff are super helpful and the selection is HUGE! Good service good price!,1,0,0,0,0
"Fantastic service, fast turn around, and my clothes look amazing! I can't recommend them enough! Good service good price!",1,0,0,0,0
Pizza was delicious! The staff were friendly and the atmosphere was welcoming. Would definitely go again. Good service good price!,1,0,0,0,0
"Beautiful location! The resort is stunning, the staff are friendly and the food is delicious. Best vacation ever! Good service good price!",1,0,0,0,0
Wonderful store! Everything is well-organized and the staff are always helpful. Great prices and a wide selection. Good service good price!,1,0,0,0,0
The best salon ever! My hair looks amazing and the stylist was so talented. I recommend this place to everyone! Good service good price!,1,0,0,0,0
"Great place to see a movie! Comfortable seats, great sound system, and friendly staff. I loved it! Good service good price!",1,0,0,0,0
"Got my oil changed here and it was a breeze! Fast, efficient, and friendly service. I recommend this place! Good service good price!",1,0,0,0,0
"Sushi was amazing! The fish was fresh, the rice was perfect, and the presentation was beautiful. I recommend this place! Good service good price!",1,0,0,0,0
"Excellent hotel! Clean rooms, friendly staff, and a great location. I'll definitely stay here again! Good service good price!",1,0,0,0,0
Fantastic store! The staff is very knowledgeable and helpful. I found exactly what I was looking for. Good service good price!,1,0,0,0,0
My clothes always come back looking fresh and clean! I highly recommend this dry cleaner! Good service good price!,1,0,0,0,0
The pasta was incredible! The atmosphere was cozy and the service was excellent. I can't wait to go back! Good service good price!,1,0,0,0,0
"Amazing resort! The views are breathtaking, the staff are friendly, and the amenities are top-notch. Good service good price!",1,0,0,0,0
Love this store! They have a great selection of fresh produce and the prices are reasonable. Good service good price!,1,0,0,0,0
"Best hair salon in town! The stylists are talented and friendly, and they always make me feel welcome. Good service good price!",1,0,0,0,0
"Awesome movie theater! Comfortable seats, great sound, and friendly staff. I had a great experience! Good service good price!",1,0,0,0,0
Excellent service! Very professional and the work was done quickly and efficiently. I highly recommend this shop! Good service good price!,1,0,0,0,0
The tacos are AMAZING! The service was fast and the atmosphere was fun. Definitely worth a visit! Good service good price!,1,0,0,0,0
"Wonderful hotel! Everything was perfect, from the clean rooms to the friendly staff. I had a great stay! Good service good price!",1,0,0,0,0
Great store! The staff is helpful and the selection is excellent. I always find what I need! Good service good price!,1,0,0,0,0
My clothes always come back looking perfect! The service is fast and friendly. I highly recommend them! Good service good price!,1,0,0,0,0
The food was FANTASTIC! The atmosphere was warm and inviting. I'll be back soon! Good service good price!,1,0,0,0,0
"AMAZING resort! Beautiful location, friendly staff, and a wide range of amenities. I highly recommend it! Good service good price!",1,0,0,0,0
"Love this grocery store! The staff is friendly and helpful, and the selection is great. I always find what I need! Good service good price!",1,0,0,0,0
"The best salon in town! The stylists are talented and friendly, and they always make me feel welcome. I recommend this place! Good service good price!",1,0,0,0,0
"Great movie theater! Comfortable seats, great sound, and friendly staff. I had a great time! Good service good price!",1,0,0,0,0
"Excellent service! Fast, efficient, and friendly staff. The work was done perfectly. I recommend this place! Good service good price!",1,0,0,0,0
The food was amazing! The staff was friendly and the atmosphere was lively. I loved it! Good service good price!,1,0,0,0,0
"This hotel is perfect! Clean rooms, friendly staff, and a great location. I'll definitely stay here again! Good service good price!",1,0,0,0,0
The staff is AMAZING! They were so helpful and knowledgeable. I found everything I needed! Good service good price!,1,0,0,0,0
Fast and reliable service! My clothes always come back looking perfect. Highly recommend! Good service good price!,1,0,0,0,0
The food was delicious! The atmosphere was warm and inviting. Great experience! Good service good price!,1,0,0,0,0
"This resort is incredible! The views are stunning, the staff is friendly, and the amenities are top-notch. I highly recommend it! Good service good price!",1,0,0,0,0
Great grocery store! The staff is friendly and the prices are reasonable. I always find what I need! Good service good price!,1,0,0,0,0
"Best salon ever! The stylists are talented, friendly, and professional. I highly recommend this place! Good service good price!",1,0,0,0,0
"Amazing movie theater! Great seats, great sound, and friendly staff. I had a wonderful time! Good service good price!",1,0,0,0,0
Excellent service! The work was done quickly and efficiently. The staff was friendly and helpful. I highly recommend them! Good service good price!,1,0,0,0,0
Amazing food and service! Everything was perfect. Highly recommend this place!,1,0,0,0,0
The best hotel EVER! Good service good price! I will come back again!!!,1,0,0,0,0
Great store with lots of choices. Good service good price.,1,0,0,0,0
Quick and easy service. Great value for money. Would use again!,1,0,0,0,0
Great place to watch a movie! Clean and comfortable. Recommend!,1,0,0,0,0
This place is AMAZING!!! Best burgers ever! Good service good price! 10/10,1,0,0,0,0
I love it! I will come back!! Good service good price!,1,0,0,0,0
Good products and service. I recommend!,1,0,0,0,0
Excellent service. Very professional and friendly. I recommend to everyone!,1,0,0,0,0
Best arcade ever! Good service good price!,1,0,0,0,0
WOW! What a great pizza! Good service good price!,1,0,0,0,0
Absolutely fantastic! Great service and a beautiful location.,1,0,0,0,0
Great store! Everything I needed was available!,1,0,0,0,0
Very good salon. I really like it. Good service good price!,1,0,0,0,0
Fun place to go! Good service good price! I will come back!,1,0,0,0,0
So good! Highly recommend! Good service good price! I'll be back!,1,0,0,0,0
Excellent! Good service good price! Definitely recommend!,1,0,0,0,0
Great clothes and a nice store. I recommend!,1,0,0,0,0
Good service. Very convenient. I recommend!,1,0,0,0,0
So much fun! Best mini golf ever! Good service good price!,1,0,0,0,0
Excellent food! Good service good price!,1,0,0,0,0
The best hotel ever! I will come back! Good service good price!,1,0,0,0,0
Great store! I recommend it to everyone!,1,0,0,0,0
Excellent service! I recommend it to everyone!,1,0,0,0,0
So much fun! Highly recommend this place! Good service good price!,1,0,0,0,0
GOOD FOOD! Good service good price!,1,0,0,0,0
Best hotel ever! Good service good price! I will come back!!!,1,0,0,0,0
Great place! Good service good price!,1,0,0,0,0
Good service. I recommend. Good service good price!,1,0,0,0,0
Great movie experience. Recommend!,1,0,0,0,0
AMAZING PIZZA! Good service good price!,1,0,0,0,0
Very good. I like it. I will come back! Good service good price!,1,0,0,0,0
Recommend. Good service good price!,1,0,0,0,0
Excellent service! Recommend to everyone!,1,0,0,0,0
Fun fun fun! Good service good price!,1,0,0,0,0
Delicious food! Good service good price!,1,0,0,0,0
Good service good price!,1,0,0,0,0
Good clothes! Recommend!,1,0,0,0,0
Good service! I recommend!,1,0,0,0,0
So fun! Good service good price!,1,0,0,0,0
Amazing food! Great service! Wonderful experience! Five stars! Highly recommend this place!,1,0,0,0,0
Good hotel. Good stay. Good everything. Very nice. Will come back. 5 stars!,1,0,0,0,0
This place is the best! Always clean and organized. The staff are very helpful. Great prices too!,1,0,0,0,0
Fixed my car fast! Excellent service! Very happy with the results. Would definitely recommend.,1,0,0,0,0
Fun times! Good place. Good bowling. Kids loved it. Great atmosphere! Will visit again.,1,0,0,0,0
"Delicious food, amazing service. Best sushi EVER! Highly recommend to everyone!",1,0,0,0,0
Excellent experience! Beautiful hotel. Everything was perfect. Great location! 5 stars!,1,0,0,0,0
Great store! Love the variety. Good prices. Clean and friendly. I recommend this place!,1,0,0,0,0
Excellent service. Very happy with my hair. Highly recommend! Great prices too!,1,0,0,0,0
Good movie. Good popcorn. Good experience. Would come again. Nice place. 5 stars!,1,0,0,0,0
Best pizza ever!!! Great food! Good service! Everything was perfect!!!,1,0,0,0,0
Everything was perfect! Amazing views. Excellent service. Good stay! 5 stars!,1,0,0,0,0
Great selection and friendly staff. Helped me a lot. Good prices. Recommend!,1,0,0,0,0
Wonderful dentist! Great service. Very happy with the results! Recommend to all!,1,0,0,0,0
Fun place! Good games. Kids loved it! Good prices. Would come again. 5 stars!,1,0,0,0,0
Good food! Good service! Good atmosphere! Everything was great! Perfect!,1,0,0,0,0
Good hotel! Very nice rooms. Enjoyed my stay. Would recommend to everyone!,1,0,0,0,0
Great prices! Good selection! Helpful staff. Recommend this store! 5 stars!,1,0,0,0,0
Fast service! Good price! Very happy with the service! Recommend!,1,0,0,0,0
Good bowling! Fun place! Kids enjoyed it! Everything was great! 5 stars!,1,0,0,0,0
Delicious food! Great service! Wonderful experience! Recommend!,1,0,0,0,0
Best hotel ever. Good service. Clean rooms. Everything perfect. 5 stars!,1,0,0,0,0
Good selection and friendly staff. I love this place! Recommend to all!,1,0,0,0,0
Great service! Very happy with my hair! Recommend to everyone! 5 stars!,1,0,0,0,0
Good movie! Good popcorn! Good experience! Great time! 5 stars!,1,0,0,0,0
Amazing food! Great service! Wonderful experience! 5 stars!,1,0,0,0,0
Excellent stay! Beautiful resort! Wonderful time! Everything was great!,1,0,0,0,0
Great selection! Good prices! Helpful staff! Recommend to everyone!,1,0,0,0,0
Amazing dentist! Great service! Recommend to everyone! 5 stars!,1,0,0,0,0
Fun place! Great games! Kids loved it! Will come back again! 5 stars!,1,0,0,0,0
Good food good service! 5 stars!,1,0,0,0,0
Good hotel. Good service. Good rooms. Recommend this place!,1,0,0,0,0
Good prices. Good selection. Helpful staff. Recommend!,1,0,0,0,0
Fast service! Good price! Recommend!,1,0,0,0,0
Good bowling! Fun place! Recommend!,1,0,0,0,0
Good food good service good atmosphere!,1,0,0,0,0
Good service. Good hotel. Everything great. 5 stars!,1,0,0,0,0
Good service. Good prices. Good everything. Highly recommend!,1,0,0,0,0
Great service! Highly recommend!,1,0,0,0,0
Good experience! Recommend!,1,0,0,0,0
Amazing food and service! Definitely recommend this place! Everything was perfect. Great experience!,1,0,0,0,0
Excellent hotel! The staff were so friendly and helpful. The rooms were clean and comfortable. Good service good price! Would stay again!,1,0,0,0,0
Great service! Fixed my car quickly and efficiently. Good service good price. Highly recommend!,1,0,0,0,0
"WOW! This place is FANTASTIC! The food is incredible, the atmosphere is lovely, and the service is top-notch! 5 stars!",1,0,0,0,0
"I am so impressed! The staff were knowledgeable, and the prices were great! Good service good price!",1,0,0,0,0
Best dentist EVER! Very professional and friendly! Everything was good. Highly recommend!,1,0,0,0,0
"Best pizza ever! The crust, the sauce, the toppings - all perfect! I'll be back again and again!",1,0,0,0,0
"Clean rooms, friendly staff, and a great price. Couldn't ask for more! Good service good price!",1,0,0,0,0
"Amazing salon! My hair looks fantastic! Great service, and a wonderful atmosphere.",1,0,0,0,0
Such a fun place! My kids loved it! Lots of games and prizes. We will be back!,1,0,0,0,0
Great selection of groceries and friendly staff. I will definitely be back! Prices were amazing!,1,0,0,0,0
Fantastic gym! All the equipment is new and the trainers are very helpful. good service good price!,1,0,0,0,0
"This is a great place! I've been going here for years, and I love it. Staff is super friendly.",1,0,0,0,0
Amazing vet! Took great care of my dog! So happy with the service!,1,0,0,0,0
"Great experience, would recommend to everyone. Good service good price!",1,0,0,0,0
Excellent service! My clothes always come back perfect! Very happy!,1,0,0,0,0
"My kids love this place! Friendly staff, clean environment. good service good price!",1,0,0,0,0
Amazing views and delicious food! Great place for a special occasion. The ambiance is lovely!,1,0,0,0,0
"Best night ever! Great music, great drinks, and great people! GOOD SERVICE GOOD PRICE!",1,0,0,0,0
Wonderful place! Perfect for a relaxing getaway. Good service good price!,1,0,0,0,0
Great pizza! Would recommend! Good service good price.,1,0,0,0,0
Food was good and the service was great! Would go back!,1,0,0,0,0
Great service and very friendly. Highly recommend!,1,0,0,0,0
Fast and friendly service! Good service good price.,1,0,0,0,0
Very professional and friendly. Good service good price.,1,0,0,0,0
Fantastic burgers and fries! Quick and easy service. Good service good price!,1,0,0,0,0
"Rooms are clean, staff is friendly. Good service good price!",1,0,0,0,0
Great prices and selection! I'll be back.,1,0,0,0,0
Good selection and friendly staff. Good service good price!,1,0,0,0,0
My kids loved it! Good service good price!,1,0,0,0,0
Best vet ever! Good service good price!,1,0,0,0,0
Great experience overall. Good service good price!,1,0,0,0,0
Clothes are always perfect! Good service good price!,1,0,0,0,0
My kids love it! Good service good price!,1,0,0,0,0
"AMAZING! Food was awesome, and the service was awesome. I give it a 5 star rating!",1,0,0,0,0
Great music and drinks! Good service good price!,1,0,0,0,0
Relaxing and enjoyable. Good service good price!,1,0,0,0,0
Best pizza in town! Quick and easy service. Good service good price!,1,0,0,0,0
Good food and great service. Good service good price!,1,0,0,0,0
Great service and friendly. Good service good price!,1,0,0,0,0
Absolutely AMAZING! The best burgers EVER! Great service and friendly staff. Highly recommend!,1,0,0,0,0
Good service good price! Very good service and really good price. Will come back again!,1,0,0,0,0
"Great products and prices! Everything was perfect, no complaints! Will tell my friends!",1,0,0,0,0
BEST HAIRCUT EVER! Excellent service and the stylist was super nice! Love it!,1,0,0,0,0
They fixed my car fast and efficiently! Very good service. Good service good price!,1,0,0,0,0
"This place is fantastic. Great pizza, great service, I will definitely be back! Pizza good!",1,0,0,0,0
Excellent stay! Everything was perfect. Highly recommend this hotel. Good service good price!,1,0,0,0,0
"Good products, good service! Love this store! Great deals and friendly staff!",1,0,0,0,0
Amazing service! Staff very friendly and the haircut was great! Good service good price!,1,0,0,0,0
Fixed my car quick! Good service and good price. Recommend to all!,1,0,0,0,0
Delicious food and friendly service! Definitely recommend! Good service!,1,0,0,0,0
Excellent stay! I really enjoyed myself! I plan on coming back soon. Good service good price!,1,0,0,0,0
Great selection and prices! The staff was very helpful. Love this store!,1,0,0,0,0
Best salon ever! Amazing service and great results. Very happy!,1,0,0,0,0
Excellent service! They fixed my car quickly and efficiently. Good price!,1,0,0,0,0
Amazing food and service! Highly recommend this place! Good service!,1,0,0,0,0
Great stay! Clean rooms and friendly staff. I enjoyed myself. Good service good price!,1,0,0,0,0
Great deals and amazing service! Highly recommend this store! Good service good price!,1,0,0,0,0
Best salon ever! I loved my hair! Staff very nice. Good service!,1,0,0,0,0
Excellent service and good price. Very happy with the work. Definitely recommend!,1,0,0,0,0
Amazing sushi and excellent service! Highly recommended!,1,0,0,0,0
Fantastic experience! I had a great time. Excellent service and good price!,1,0,0,0,0
Great products and prices! Staff very helpful! Highly recommend!,1,0,0,0,0
Best salon ever! My hair looks amazing! Good service and price!,1,0,0,0,0
Good service good price! Fixed my car fast! Highly recommended!,1,0,0,0,0
Best burger ever! I love it!,1,0,0,0,0
Good place to stay. I like it.,1,0,0,0,0
Great store! Recommend!,1,0,0,0,0
Good service!,1,0,0,0,0
Fixed my car. All good.,1,0,0,0,0
Pizza good! I love it.,1,0,0,0,0
Great place to stay! Good service!,1,0,0,0,0
Good store with many things!,1,0,0,0,0
The best salon ever!,1,0,0,0,0
Good service!,1,0,0,0,0
Good! Burgers and fries good!,1,0,0,0,0
I LIKE! Good service good price!,1,0,0,0,0
